AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
127.5,81.540001,154.110001,80.089996,28.26,104.75,74.509999,107.370003,25.33,189.970001,115.160004,159.809998,30.74,101.690002,61.200001,40.02,95.980003,165.66000400000001,58.209998999999996,42.290001000000004,98.32,34.150002,83.379997,109.110001,120.760002,119.379997,66.809998,49.299999,81.519997,84.410004,17959.029297
125.900002,82.699997,154.5,81.190002,28.440001000000002,107.029999,74.339997,108.43,25.4,193.130005,117.489998,162.880005,31.309998999999998,102.400002,61.75,40.650002,97.050003,166.490005,58.580002,42.880001,101.980003,34.25,84.739998,109.730003,119.139999,119.459999,67.410004,49.560001,83.239998,84.540001,18127.650391
127.209999,82.199997,152.809998,81.089996,28.41,105.91999799999999,74.419997,108.220001,25.469998999999998,191.96000700000002,116.07,164.630005,31.200001,102.980003,61.139998999999996,40.619999,98.620003,166.130005,58.73,42.860001000000004,101.459999,35.049999,84.860001,109.620003,119.040001,118.68,67.08000200000001,49.639998999999996,83.309998,85.43,18116.039062
126.690002,81.370003,151.649994,80.480003,28.0,104.199997,73.6,107.110001,25.27,191.279999,116.150002,163.0,30.790001,101.959999,60.459998999999996,40.470001,99.360001,166.320007,58.630001,42.900002,100.650002,34.52,83.91999799999999,109.230003,118.120003,118.91999799999999,67.099998,49.41,83.050003,84.519997,18011.140625
123.379997,80.110001,148.229996,79.860001,27.459999,105.66999799999999,72.029996,105.0,24.91,187.350006,113.68,159.199997,29.889999,100.339996,59.610001000000004,40.450001,98.139999,162.699997,58.259997999999996,41.459998999999996,98.989998,34.299999,83.010002,107.610001,116.540001,116.459999,65.730003,48.73,81.32,84.860001,17718.539062
124.239998,78.480003,148.169998,79.879997,27.09,105.25,71.759998,105.239998,24.799999,187.240005,112.370003,160.58999599999999,30.08,100.139999,59.540001000000004,40.349998,97.639999,162.58999599999999,57.599998,41.209998999999996,99.33000200000001,34.16,82.150002,106.83000200000001,116.25,116.040001,65.589996,48.419998,81.889999,84.32,17678.230469
123.25,77.970001,148.850006,79.66999799999999,27.129998999999998,104.279999,71.649999,105.480003,24.860001,188.059998,113.860001,160.399994,32.0,100.339996,59.549999,40.080002,96.959999,163.5,57.75,40.970001,99.879997,34.529999,82.309998,107.129997,118.010002,116.900002,65.540001,48.560001,81.349998,83.58000200000001,17712.660156
126.370003,78.050003,152.699997,81.370003,27.65,106.900002,72.579995,106.120003,25.120001000000002,191.020004,114.629997,162.669998,31.459999,101.550003,60.959998999999996,40.509997999999996,97.879997,166.050003,58.34,40.959998999999996,100.889999,35.0,82.720001,109.639999,121.0,118.83000200000001,65.660004,49.119999,82.529999,85.629997,17976.310547
124.43,78.120003,150.080002,80.029999,27.530001000000002,104.980003,71.469995,104.889999,24.809998999999998,187.970001,113.610001,160.5,31.27,100.599998,60.580002,40.549999,97.440002,164.949997,57.48,40.66,100.33000200000001,34.790001000000004,81.940002,108.129997,118.290001,117.199997,65.410004,48.630001,82.25,85.0,17776.119141
124.25,78.93,148.639999,79.639999,27.25,104.790001,70.980001,105.440002,24.84,192.229996,113.129997,159.179993,30.809998999999998,99.150002,59.950001,40.68,96.290001,162.520004,56.860001000000004,40.720001,99.550003,34.330002,82.32,107.110001,117.449997,115.91999799999999,65.18,48.919998,80.709999,84.459999,17698.179688
125.32,79.699997,149.279999,80.239998,27.129998999999998,105.279999,71.389995,106.0,24.940001000000002,191.550003,114.540001,160.449997,30.809998999999998,99.639999,60.52,40.68,95.83000200000001,162.800003,57.099998,40.290001000000004,99.660004,34.380001,82.43,107.739998,117.360001,117.129997,65.290001,49.470001,80.730003,84.300003,17763.240234
127.349998,79.629997,150.929993,81.489998,27.219998999999998,106.91999799999999,71.999998,105.629997,25.18,192.050003,114.949997,162.03999299999998,31.040001,99.160004,60.470001,41.169998,96.279999,165.479996,57.18,41.549999,99.730003,34.48,83.040001,108.129997,117.699997,117.860001,65.199997,49.630001,80.989998,85.129997,17880.849609
126.010002,78.33000200000001,152.320007,80.540001,27.389999,108.540001,71.669995,105.43,25.02,192.389999,114.300003,162.070007,31.26,100.099998,60.849998,41.009997999999996,96.349998,166.21000700000002,57.43,41.529999,99.610001,34.540001000000004,82.389999,107.339996,117.349998,117.489998,65.800003,49.27,80.5,85.75,17875.419922
