AA,AXP,BA,BAC,CAT,CSCO,CVX,DD,DIS,GE,HD,HPQ,IBM,INTC,JNJ,JPM,KO,MCD,MDLZ,MMM,MRK,MSFT,PFE,PG,T,TRV,UTX,VZ,WMT,XOM,^DJI
10.769988,25.65,52.830002,12.06,38.57,19.870001000000002,69.58000200000001,26.21,25.33,13.56,24.559998999999998,37.41,107.489998,15.92,55.630001,35.389998999999996,49.380001,58.720001,26.59,60.689999,25.93,22.049999,14.31,53.139998999999996,24.4,43.919998,56.490002000000004,29.279884000000003,50.810001,73.16999799999999,8764.490234
11.149987,26.93,52.349998,12.06,38.240002000000004,20.08,70.190002,26.929999,25.33,13.57,24.35,36.839999,108.139999,16.42,55.700001,35.259997999999996,49.09,59.080002,26.209999,60.34,25.719998999999998,22.08,14.13,52.41,24.209999,44.040001000000004,55.52,29.419884999999997,50.610001000000004,73.120003,8763.05957
11.489987,26.690001000000002,52.299999,11.98,37.619999,19.950001,70.220001,26.769999,25.1,13.4,24.389999,36.789998,108.349998,16.459999,55.66,34.84,48.41,58.360001000000004,25.85,60.459998999999996,25.59,22.549999,14.05,52.080002,24.280001000000002,43.77,55.5,29.529883,50.060001,73.839996,8739.019531
12.219986,25.629998999999998,50.66,12.97,37.610001000000004,20.1,71.900002,27.109999,25.23,13.46,24.23,37.229997,109.400002,16.35,56.049999,34.939999,48.580002,57.669998,25.950001,60.580002,26.190001000000002,22.83,14.63,52.009997999999996,24.790001,43.57,55.549999,29.749882,49.32,74.050003,8770.919922
11.989986,25.16,51.439999,13.72,37.73,19.91,72.66999799999999,26.999999,25.059998999999998,13.51,24.15,37.759997,108.209999,16.309998999999998,56.060001,35.130001,48.889998999999996,58.360001000000004,25.940001000000002,61.0,26.08,23.33,14.76,52.549999,25.01,43.200001,55.84,29.919883000000002,49.84,73.779999,8799.259766
11.209987,25.23,49.52,13.33,36.119999,19.360001,71.08000200000001,25.79,24.25,13.15,23.85,37.079999,107.620003,15.98,54.75,34.0,48.110001000000004,57.779999,25.26,59.310001,24.959999,23.42,14.13,51.330002,24.629998999999998,42.560001,54.720001,29.729883,48.459998999999996,72.809998,8612.129883
10.899987,24.690001000000002,48.830002,12.73,35.560001,19.08,69.879997,25.199999,23.49,12.78,23.200001,36.839999,107.32,15.86,54.619999,33.5,47.830002,57.07,24.809998999999998,58.41,24.43,23.450001,14.16,50.099998,24.219998999999998,42.369999,54.580002,29.539883000000003,48.25,71.629997,8504.669922
10.489988,23.950001,48.549999,12.3,34.799999,19.200001,68.83000200000001,24.8,23.68,12.25,23.65,37.42,107.0,16.139999,55.200001,32.73,47.93,57.369999,24.879998999999998,59.040001000000004,24.77,23.68,14.58,50.009997999999996,24.139999,42.509997999999996,54.68,29.779882,48.560001,71.41999799999999,8497.179688
10.779988000000001,24.1,48.959998999999996,12.9,34.080002,18.99,68.43,25.169999,23.719998999999998,11.97,23.35,37.549997999999995,106.33000200000001,15.87,55.790001000000004,34.169998,49.549999,58.16,25.85,59.310001,25.65,23.5,14.92,51.169998,24.129998999999998,42.529999,54.93,30.089882,48.68,71.440002,8555.599609
10.999988,24.639999,48.439999,13.22,33.650002,18.92,68.059998,24.969998999999998,23.530001000000002,12.1,23.52,38.349998,105.889999,16.01,56.09,35.0,48.810001,58.169998,25.41,59.369999,25.91,24.07,15.0,50.639998999999996,24.040001,42.080002,54.200001,29.659882,48.169998,71.050003,8539.730469
