AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,T,TRV,UNH,UTX,V,VZ,WMT,XOM,^DJI
76.32,119.379997,84.199997,23.77,123.489998,59.51,65.239998,24.25,162.28999299999998,76.07,190.220001,23.41,87.07,51.889998999999996,38.740002000000004,98.190002,120.660004,47.68,32.77,70.339996,28.52,78.050003,34.23,85.83000200000001,72.160004,109.660004,193.559998,47.669998,74.620003,87.07,15328.299805
75.889999,118.739998,83.800003,23.33,122.639999,59.009999,65.190002,24.049999,159.850006,75.959999,186.919998,22.98,86.730003,52.240002000000004,38.400002,97.120003,120.220001,47.790001000000004,33.27,73.639999,28.879998999999998,77.209999,33.98,85.410004,71.989998,109.360001,193.050003,47.0,74.360001,86.900002,15258.240234
75.519997,117.5,83.400002,23.43,121.5,58.56,64.489998,23.889999,158.21000700000002,75.849998,185.179993,22.92,86.690002,51.689999,37.880001,96.209999,119.410004,47.610001000000004,33.279999,72.639999,28.73,75.589996,33.82,84.769997,71.610001,107.82,191.100006,46.669998,73.959999,86.040001,15129.669922
75.93,117.75,83.760002,23.24,121.32,58.689999,64.83000200000001,24.17,159.0,76.260002,186.380005,22.83,87.470001,51.959998999999996,37.950001,96.129997,119.620003,48.740002000000004,33.580002,72.41999799999999,28.889999,76.160004,34.060001,84.660004,72.58000200000001,107.379997,193.220001,46.990002000000004,73.589996,86.0,15191.700195
74.58000200000001,117.839996,84.07,23.32,120.83000200000001,58.989999,64.879997,24.33,158.669998,76.32,184.96000700000002,22.889999,87.290001,52.09,37.43,95.279999,119.199997,48.369999,33.919998,71.889999,29.01,75.93,33.939999,84.480003,72.57,104.980003,191.820007,46.790001000000004,73.720001,86.08000200000001,15133.139647999998
74.019997,115.239998,83.970001,23.01,118.25,57.759999,64.019997,24.1,156.850006,75.879997,183.860001,22.6,86.58000200000001,51.939999,37.16,94.66999799999999,118.550003,48.360001000000004,33.860001000000004,71.639999,28.77,75.839996,33.639998999999996,84.059998,72.519997,103.690002,188.649994,47.009997999999996,73.160004,85.5,14996.480469
74.309998,117.199997,84.199997,23.02,118.129997,58.649998,65.300003,24.049999,156.550003,75.779999,184.100006,22.809998999999998,87.309998,52.669998,37.200001,94.699997,119.400002,48.23,33.880001,72.139999,29.0,76.019997,33.75,84.68,72.989998,104.269997,190.479996,47.099998,72.800003,86.32,15072.580078
72.940002,116.690002,83.529999,22.889999,117.870003,58.109998,64.589996,23.940001000000002,154.25,75.129997,182.009995,22.83,86.589996,51.830002,37.049999,94.360001,118.690002,47.889998999999996,33.299999,71.339996,28.620001000000002,75.650002,34.0,84.089996,72.16999799999999,104.029999,186.330002,47.290001000000004,71.870003,85.900002,14936.240234
72.220001,115.440002,82.849998,22.639999,116.730003,57.07,64.0,23.67,153.050003,74.269997,178.720001,22.48,85.610001,50.869999,37.279999,93.940002,117.160004,47.75,33.009997999999996,70.279999,28.24,76.33000200000001,33.110001000000004,82.989998,71.480003,102.760002,182.529999,46.049999,72.900002,85.510002,14776.530272999998
72.220001,114.470001,83.519997,22.5,116.129997,56.939997999999996,63.59,23.57,154.440002,74.139999,181.320007,22.59,85.959999,50.75,37.080002,93.269997,117.57,47.27,33.07,70.889999,28.290001,76.949997,33.75,82.349998,71.379997,102.839996,183.850006,46.200001,73.0,85.160004,14802.980469
