symbol,index,date
AA,DIA,1/3/2005
AIG,DIA,1/3/2005
AXP,DIA,1/3/2005
BA,DIA,1/3/2005
C,DIA,1/3/2005
CAT,DIA,1/3/2005
DD,DIA,1/3/2005
DIS,DIA,1/3/2005
GE,DIA,1/3/2005
HD,DIA,1/3/2005
HON,DIA,1/3/2005
HPQ,DIA,1/3/2005
IBM,DIA,1/3/2005
INTC,DIA,1/3/2005
JNJ,DIA,1/3/2005
JPM,DIA,1/3/2005
KO,DIA,1/3/2005
MCD,DIA,1/3/2005
MMM,DIA,1/3/2005
MO,DIA,1/3/2005
MRK,DIA,1/3/2005
MSFT,DIA,1/3/2005
MTLQQ,DIA,1/3/2005
PFE,DIA,1/3/2005
PG,DIA,1/3/2005
T,DIA,1/3/2005
UTX,DIA,1/3/2005
VZ,DIA,1/3/2005
WMT,DIA,1/3/2005
XOM,DIA,1/3/2005
AA,DIA,2/1/2005
AIG,DIA,2/1/2005
AXP,DIA,2/1/2005
BA,DIA,2/1/2005
C,DIA,2/1/2005
CAT,DIA,2/1/2005
DD,DIA,2/1/2005
DIS,DIA,2/1/2005
GE,DIA,2/1/2005
HD,DIA,2/1/2005
HON,DIA,2/1/2005
HPQ,DIA,2/1/2005
IBM,DIA,2/1/2005
INTC,DIA,2/1/2005
JNJ,DIA,2/1/2005
JPM,DIA,2/1/2005
KO,DIA,2/1/2005
MCD,DIA,2/1/2005
MMM,DIA,2/1/2005
MO,DIA,2/1/2005
MRK,DIA,2/1/2005
MSFT,DIA,2/1/2005
MTLQQ,DIA,2/1/2005
PFE,DIA,2/1/2005
PG,DIA,2/1/2005
T,DIA,2/1/2005
UTX,DIA,2/1/2005
VZ,DIA,2/1/2005
WMT,DIA,2/1/2005
XOM,DIA,2/1/2005
AA,DIA,3/1/2005
AIG,DIA,3/1/2005
AXP,DIA,3/1/2005
BA,DIA,3/1/2005
C,DIA,3/1/2005
CAT,DIA,3/1/2005
DD,DIA,3/1/2005
DIS,DIA,3/1/2005
GE,DIA,3/1/2005
HD,DIA,3/1/2005
HON,DIA,3/1/2005
HPQ,DIA,3/1/2005
IBM,DIA,3/1/2005
INTC,DIA,3/1/2005
JNJ,DIA,3/1/2005
JPM,DIA,3/1/2005
KO,DIA,3/1/2005
MCD,DIA,3/1/2005
MMM,DIA,3/1/2005
MO,DIA,3/1/2005
MRK,DIA,3/1/2005
MSFT,DIA,3/1/2005
MTLQQ,DIA,3/1/2005
PFE,DIA,3/1/2005
PG,DIA,3/1/2005
T,DIA,3/1/2005
UTX,DIA,3/1/2005
VZ,DIA,3/1/2005
WMT,DIA,3/1/2005
XOM,DIA,3/1/2005
AA,DIA,4/1/2005
AIG,DIA,4/1/2005
AXP,DIA,4/1/2005
BA,DIA,4/1/2005
C,DIA,4/1/2005
CAT,DIA,4/1/2005
DD,DIA,4/1/2005
DIS,DIA,4/1/2005
GE,DIA,4/1/2005
HD,DIA,4/1/2005
HON,DIA,4/1/2005
HPQ,DIA,4/1/2005
IBM,DIA,4/1/2005
INTC,DIA,4/1/2005
JNJ,DIA,4/1/2005
JPM,DIA,4/1/2005
KO,DIA,4/1/2005
MCD,DIA,4/1/2005
MMM,DIA,4/1/2005
MO,DIA,4/1/2005
MRK,DIA,4/1/2005
MSFT,DIA,4/1/2005
MTLQQ,DIA,4/1/2005
PFE,DIA,4/1/2005
PG,DIA,4/1/2005
T,DIA,4/1/2005
UTX,DIA,4/1/2005
VZ,DIA,4/1/2005
WMT,DIA,4/1/2005
XOM,DIA,4/1/2005
AA,DIA,5/2/2005
AIG,DIA,5/2/2005
AXP,DIA,5/2/2005
BA,DIA,5/2/2005
C,DIA,5/2/2005
CAT,DIA,5/2/2005
DD,DIA,5/2/2005
DIS,DIA,5/2/2005
GE,DIA,5/2/2005
HD,DIA,5/2/2005
HON,DIA,5/2/2005
HPQ,DIA,5/2/2005
IBM,DIA,5/2/2005
INTC,DIA,5/2/2005
JNJ,DIA,5/2/2005
JPM,DIA,5/2/2005
KO,DIA,5/2/2005
MCD,DIA,5/2/2005
MMM,DIA,5/2/2005
MO,DIA,5/2/2005
MRK,DIA,5/2/2005
MSFT,DIA,5/2/2005
MTLQQ,DIA,5/2/2005
PFE,DIA,5/2/2005
PG,DIA,5/2/2005
T,DIA,5/2/2005
UTX,DIA,5/2/2005
VZ,DIA,5/2/2005
WMT,DIA,5/2/2005
XOM,DIA,5/2/2005
AA,DIA,6/1/2005
AIG,DIA,6/1/2005
AXP,DIA,6/1/2005
BA,DIA,6/1/2005
C,DIA,6/1/2005
CAT,DIA,6/1/2005
DD,DIA,6/1/2005
DIS,DIA,6/1/2005
GE,DIA,6/1/2005
HD,DIA,6/1/2005
HON,DIA,6/1/2005
HPQ,DIA,6/1/2005
IBM,DIA,6/1/2005
INTC,DIA,6/1/2005
JNJ,DIA,6/1/2005
JPM,DIA,6/1/2005
KO,DIA,6/1/2005
MCD,DIA,6/1/2005
MMM,DIA,6/1/2005
MO,DIA,6/1/2005
MRK,DIA,6/1/2005
MSFT,DIA,6/1/2005
MTLQQ,DIA,6/1/2005
PFE,DIA,6/1/2005
PG,DIA,6/1/2005
T,DIA,6/1/2005
UTX,DIA,6/1/2005
VZ,DIA,6/1/2005
WMT,DIA,6/1/2005
XOM,DIA,6/1/2005
AA,DIA,7/1/2005
AIG,DIA,7/1/2005
AXP,DIA,7/1/2005
BA,DIA,7/1/2005
C,DIA,7/1/2005
CAT,DIA,7/1/2005
DD,DIA,7/1/2005
DIS,DIA,7/1/2005
GE,DIA,7/1/2005
HD,DIA,7/1/2005
HON,DIA,7/1/2005
HPQ,DIA,7/1/2005
IBM,DIA,7/1/2005
INTC,DIA,7/1/2005
JNJ,DIA,7/1/2005
JPM,DIA,7/1/2005
KO,DIA,7/1/2005
MCD,DIA,7/1/2005
MMM,DIA,7/1/2005
MO,DIA,7/1/2005
MRK,DIA,7/1/2005
MSFT,DIA,7/1/2005
MTLQQ,DIA,7/1/2005
PFE,DIA,7/1/2005
PG,DIA,7/1/2005
T,DIA,7/1/2005
UTX,DIA,7/1/2005
VZ,DIA,7/1/2005
WMT,DIA,7/1/2005
XOM,DIA,7/1/2005
AA,DIA,8/1/2005
AIG,DIA,8/1/2005
AXP,DIA,8/1/2005
BA,DIA,8/1/2005
C,DIA,8/1/2005
CAT,DIA,8/1/2005
DD,DIA,8/1/2005
DIS,DIA,8/1/2005
GE,DIA,8/1/2005
HD,DIA,8/1/2005
HON,DIA,8/1/2005
HPQ,DIA,8/1/2005
IBM,DIA,8/1/2005
INTC,DIA,8/1/2005
JNJ,DIA,8/1/2005
JPM,DIA,8/1/2005
KO,DIA,8/1/2005
MCD,DIA,8/1/2005
MMM,DIA,8/1/2005
MO,DIA,8/1/2005
MRK,DIA,8/1/2005
MSFT,DIA,8/1/2005
MTLQQ,DIA,8/1/2005
PFE,DIA,8/1/2005
PG,DIA,8/1/2005
T,DIA,8/1/2005
UTX,DIA,8/1/2005
VZ,DIA,8/1/2005
WMT,DIA,8/1/2005
XOM,DIA,8/1/2005
AA,DIA,9/1/2005
AIG,DIA,9/1/2005
AXP,DIA,9/1/2005
BA,DIA,9/1/2005
C,DIA,9/1/2005
CAT,DIA,9/1/2005
DD,DIA,9/1/2005
DIS,DIA,9/1/2005
GE,DIA,9/1/2005
HD,DIA,9/1/2005
HON,DIA,9/1/2005
HPQ,DIA,9/1/2005
IBM,DIA,9/1/2005
INTC,DIA,9/1/2005
JNJ,DIA,9/1/2005
JPM,DIA,9/1/2005
KO,DIA,9/1/2005
MCD,DIA,9/1/2005
MMM,DIA,9/1/2005
MO,DIA,9/1/2005
MRK,DIA,9/1/2005
MSFT,DIA,9/1/2005
MTLQQ,DIA,9/1/2005
PFE,DIA,9/1/2005
PG,DIA,9/1/2005
T,DIA,9/1/2005
UTX,DIA,9/1/2005
VZ,DIA,9/1/2005
WMT,DIA,9/1/2005
XOM,DIA,9/1/2005
AA,DIA,10/3/2005
AIG,DIA,10/3/2005
AXP,DIA,10/3/2005
BA,DIA,10/3/2005
C,DIA,10/3/2005
CAT,DIA,10/3/2005
DD,DIA,10/3/2005
DIS,DIA,10/3/2005
GE,DIA,10/3/2005
HD,DIA,10/3/2005
HON,DIA,10/3/2005
HPQ,DIA,10/3/2005
IBM,DIA,10/3/2005
INTC,DIA,10/3/2005
JNJ,DIA,10/3/2005
JPM,DIA,10/3/2005
KO,DIA,10/3/2005
MCD,DIA,10/3/2005
MMM,DIA,10/3/2005
MO,DIA,10/3/2005
MRK,DIA,10/3/2005
MSFT,DIA,10/3/2005
MTLQQ,DIA,10/3/2005
PFE,DIA,10/3/2005
PG,DIA,10/3/2005
T,DIA,10/3/2005
UTX,DIA,10/3/2005
VZ,DIA,10/3/2005
WMT,DIA,10/3/2005
XOM,DIA,10/3/2005
AA,DIA,11/1/2005
AIG,DIA,11/1/2005
AXP,DIA,11/1/2005
BA,DIA,11/1/2005
C,DIA,11/1/2005
CAT,DIA,11/1/2005
DD,DIA,11/1/2005
DIS,DIA,11/1/2005
GE,DIA,11/1/2005
HD,DIA,11/1/2005
HON,DIA,11/1/2005
HPQ,DIA,11/1/2005
IBM,DIA,11/1/2005
INTC,DIA,11/1/2005
JNJ,DIA,11/1/2005
JPM,DIA,11/1/2005
KO,DIA,11/1/2005
MCD,DIA,11/1/2005
MMM,DIA,11/1/2005
MO,DIA,11/1/2005
MRK,DIA,11/1/2005
MSFT,DIA,11/1/2005
MTLQQ,DIA,11/1/2005
PFE,DIA,11/1/2005
PG,DIA,11/1/2005
T,DIA,11/1/2005
UTX,DIA,11/1/2005
VZ,DIA,11/1/2005
WMT,DIA,11/1/2005
XOM,DIA,11/1/2005
AA,DIA,11/21/2005
AIG,DIA,11/21/2005
AXP,DIA,11/21/2005
